width,height,crop,class,fname,img_path,x1,y1,x2,y2,id,integer_label
640,640,Pepper,Pepper Bacterial Spot,e4cb0aa8-2265-464b-b45b-0482f68c1f8b.jpg,dataset/validate\e4cb0aa8-2265-464b-b45b-0482f68c1f8b.jpg,307.9057,389.40643,326.2785,411.51462,0,9
640,640,Pepper,Pepper Septoria,e38b19ee-3c97-4ce6-9d12-24de77f5d496.jpg,dataset/validate\e38b19ee-3c97-4ce6-9d12-24de77f5d496.jpg,282.39072,293.8788,328.7178,311.9116,1,13
640,640,Pepper,Pepper Septoria,befa8b69-83e7-41c2-aa1d-7e51e3fc9d66.jpg,dataset/validate\befa8b69-83e7-41c2-aa1d-7e51e3fc9d66.jpg,22.954544,142.53506,110.75319,243.16634,2,13
640,640,Pepper,Pepper Cercospora,03dc4cd7-4d50-4d52-9106-0207d88bf0ed.jpg,dataset/validate\03dc4cd7-4d50-4d52-9106-0207d88bf0ed.jpg,474.81183,574.58734,495.32315,591.451,3,7
640,640,Tomato,Tomato Late Blight,36362e77-549b-4815-8000-0aade6f2e01b.jpg,dataset/validate\36362e77-549b-4815-8000-0aade6f2e01b.jpg,43.742317,198.50996,59.62248,224.83609,4,16
640,640,Corn,Corn Cercospora Leaf Spot,bb321f37-4504-454f-a934-b7f3df9b0e17.jpg,dataset/validate\bb321f37-4504-454f-a934-b7f3df9b0e17.jpg,309.12183,396.80313,321.81305,423.00784,5,1
640,640,Pepper,Pepper Bacterial Spot,c2321ef6-6a76-45af-af83-7b9e358aca21.jpg,dataset/validate\c2321ef6-6a76-45af-af83-7b9e358aca21.jpg,114.20067,584.92786,129.93755,598.97614,6,9
640,640,Tomato,Tomato Septoria,ed952f9e-5f8c-435a-95f4-e5a95c5591b9.jpg,dataset/validate\ed952f9e-5f8c-435a-95f4-e5a95c5591b9.jpg,314.59302,288.57098,347.93506,332.35864,7,19
640,640,Pepper,Pepper Fusarium,35ff9fcb-66f3-4248-841c-143afb9f1537.jpg,dataset/validate\35ff9fcb-66f3-4248-841c-143afb9f1537.jpg,193.08707,312.00745,273.8718,343.57562,8,12
640,640,Corn,Corn Streak,5964e74b-0620-41e6-8aa4-9da6ac79144c.jpg,dataset/validate\5964e74b-0620-41e6-8aa4-9da6ac79144c.jpg,485.28467,163.14441,555.7626,357.81833,9,4
